8.9496 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7ff51e415150>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600,  900]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4469 	EXP 	Created text_fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_fixation', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
9.4697 	EXP 	Set  sound=A
9.4697 	EXP 	Set Sound  volume=1.000
9.4767 	EXP 	Created text_type = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_type', opacity=1.0, ori=0, pos=array([-0.5,  0. ]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
9.4864 	EXP 	Created text_end = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='text_end', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.4866 	EXP 	window1: recordFrameIntervals = False
9.4869 	EXP 	window1: blendMode = 'avg'
9.4898 	EXP 	text_welcome: autoDraw = True
9.4899 	EXP 	window1: recordFrameIntervals = False
9.9706 	EXP 	window1: blendMode = 'avg'
9.9738 	EXP 	window1: blendMode = 'avg'
9.9770 	EXP 	window1: blendMode = 'avg'
9.9802 	EXP 	window1: blendMode = 'avg'
9.9842 	EXP 	window1: blendMode = 'avg'
9.9873 	EXP 	window1: blendMode = 'avg'
10.0162 	EXP 	window1: blendMode = 'avg'
10.0328 	EXP 	window1: blendMode = 'avg'
10.0496 	EXP 	window1: blendMode = 'avg'
10.0662 	EXP 	window1: blendMode = 'avg'
10.0829 	EXP 	window1: blendMode = 'avg'
10.0995 	EXP 	window1: blendMode = 'avg'
10.1162 	EXP 	window1: blendMode = 'avg'
10.1329 	EXP 	window1: blendMode = 'avg'
10.1496 	EXP 	window1: blendMode = 'avg'
10.1664 	EXP 	window1: blendMode = 'avg'
10.1830 	EXP 	window1: blendMode = 'avg'
10.1997 	EXP 	window1: blendMode = 'avg'
10.2164 	EXP 	window1: blendMode = 'avg'
10.2331 	EXP 	window1: blendMode = 'avg'
10.2499 	EXP 	window1: blendMode = 'avg'
10.2666 	EXP 	window1: blendMode = 'avg'
10.2835 	EXP 	window1: blendMode = 'avg'
10.3001 	EXP 	window1: blendMode = 'avg'
10.3167 	EXP 	window1: blendMode = 'avg'
10.3334 	EXP 	window1: blendMode = 'avg'
10.3501 	EXP 	window1: blendMode = 'avg'
10.3667 	EXP 	window1: blendMode = 'avg'
10.3834 	EXP 	window1: blendMode = 'avg'
10.4002 	EXP 	window1: blendMode = 'avg'
10.4168 	EXP 	window1: blendMode = 'avg'
10.4335 	EXP 	window1: blendMode = 'avg'
10.4503 	EXP 	window1: blendMode = 'avg'
10.4669 	EXP 	window1: blendMode = 'avg'
10.4836 	EXP 	window1: blendMode = 'avg'
10.5003 	EXP 	window1: blendMode = 'avg'
10.5170 	EXP 	window1: blendMode = 'avg'
10.5334 	EXP 	window1: blendMode = 'avg'
10.5501 	EXP 	window1: blendMode = 'avg'
10.5662 	EXP 	window1: blendMode = 'avg'
10.5829 	EXP 	window1: blendMode = 'avg'
10.5998 	EXP 	window1: blendMode = 'avg'
10.6165 	EXP 	window1: blendMode = 'avg'
10.6334 	EXP 	window1: blendMode = 'avg'
10.6501 	EXP 	window1: blendMode = 'avg'
10.6668 	EXP 	window1: blendMode = 'avg'
10.6835 	EXP 	window1: blendMode = 'avg'
10.7003 	EXP 	window1: blendMode = 'avg'
10.7169 	EXP 	window1: blendMode = 'avg'
10.7333 	DATA 	Keypress: space
10.7341 	EXP 	window1: blendMode = 'avg'
10.7490 	EXP 	text_welcome: autoDraw = False
10.7490 	EXP 	text_instruction: autoDraw = True
10.7495 	EXP 	window1: blendMode = 'avg'
10.7661 	EXP 	window1: blendMode = 'avg'
10.7828 	EXP 	window1: blendMode = 'avg'
10.7995 	EXP 	window1: blendMode = 'avg'
10.8161 	EXP 	window1: blendMode = 'avg'
10.8328 	EXP 	window1: blendMode = 'avg'
10.8495 	EXP 	window1: blendMode = 'avg'
10.8662 	EXP 	window1: blendMode = 'avg'
10.8828 	EXP 	window1: blendMode = 'avg'
10.8994 	EXP 	window1: blendMode = 'avg'
10.9161 	EXP 	window1: blendMode = 'avg'
10.9328 	EXP 	window1: blendMode = 'avg'
10.9495 	EXP 	window1: blendMode = 'avg'
10.9661 	EXP 	window1: blendMode = 'avg'
10.9828 	EXP 	window1: blendMode = 'avg'
10.9994 	EXP 	window1: blendMode = 'avg'
11.0161 	EXP 	window1: blendMode = 'avg'
11.0327 	EXP 	window1: blendMode = 'avg'
11.0494 	EXP 	window1: blendMode = 'avg'
11.0661 	EXP 	window1: blendMode = 'avg'
11.0830 	EXP 	window1: blendMode = 'avg'
11.0832 	DATA 	Keypress: space
11.1014 	EXP 	Imported test.csv as conditions, 10 conditions, 3 params
11.1017 	EXP 	Created sequence: sequential, trialTypes=10, nReps=1, seed=None
11.1020 	EXP 	New trial (rep=0, index=0): {'word': u'\u6642\u5019', 'file': u'stimuli/154.wav', 'word_id': 154}
11.1024 	EXP 	Set  sound=stimuli/154.wav
11.1030 	EXP 	window1: blendMode = 'avg'
11.1158 	EXP 	text_instruction: autoDraw = False
11.1158 	EXP 	text_fixation: autoDraw = True
11.1162 	EXP 	window1: blendMode = 'avg'
11.1337 	EXP 	window1: blendMode = 'avg'
11.1499 	EXP 	window1: blendMode = 'avg'
11.1668 	EXP 	window1: blendMode = 'avg'
11.1827 	EXP 	window1: blendMode = 'avg'
11.1992 	EXP 	window1: blendMode = 'avg'
11.2164 	EXP 	window1: blendMode = 'avg'
11.2329 	EXP 	window1: blendMode = 'avg'
11.2498 	EXP 	window1: blendMode = 'avg'
11.2667 	EXP 	window1: blendMode = 'avg'
11.2834 	EXP 	window1: blendMode = 'avg'
11.3001 	EXP 	window1: blendMode = 'avg'
11.3167 	EXP 	window1: blendMode = 'avg'
11.3334 	EXP 	window1: blendMode = 'avg'
11.3502 	EXP 	window1: blendMode = 'avg'
11.3668 	EXP 	window1: blendMode = 'avg'
11.3835 	EXP 	window1: blendMode = 'avg'
11.4003 	EXP 	window1: blendMode = 'avg'
11.4169 	EXP 	window1: blendMode = 'avg'
11.4336 	EXP 	window1: blendMode = 'avg'
11.4503 	EXP 	window1: blendMode = 'avg'
11.4669 	EXP 	window1: blendMode = 'avg'
11.4836 	EXP 	window1: blendMode = 'avg'
11.5003 	EXP 	window1: blendMode = 'avg'
11.5169 	EXP 	window1: blendMode = 'avg'
11.5336 	EXP 	window1: blendMode = 'avg'
11.5502 	EXP 	window1: blendMode = 'avg'
11.5665 	EXP 	window1: blendMode = 'avg'
11.5828 	EXP 	window1: blendMode = 'avg'
11.5997 	EXP 	window1: blendMode = 'avg'
11.6159 	EXP 	Sound  started
11.6165 	EXP 	window1: blendMode = 'avg'
11.6333 	EXP 	window1: blendMode = 'avg'
11.6500 	EXP 	window1: blendMode = 'avg'
11.6667 	EXP 	window1: blendMode = 'avg'
11.6835 	EXP 	window1: blendMode = 'avg'
11.7003 	EXP 	window1: blendMode = 'avg'
11.7169 	EXP 	window1: blendMode = 'avg'
11.7331 	EXP 	window1: blendMode = 'avg'
11.7495 	EXP 	window1: blendMode = 'avg'
11.7663 	EXP 	window1: blendMode = 'avg'
11.7829 	EXP 	window1: blendMode = 'avg'
11.7996 	EXP 	window1: blendMode = 'avg'
11.8163 	EXP 	window1: blendMode = 'avg'
11.8330 	EXP 	window1: blendMode = 'avg'
11.8496 	EXP 	window1: blendMode = 'avg'
11.8663 	EXP 	window1: blendMode = 'avg'
11.8831 	EXP 	window1: blendMode = 'avg'
11.9036 	EXP 	window1: blendMode = 'avg'
11.9166 	EXP 	window1: blendMode = 'avg'
11.9328 	EXP 	window1: blendMode = 'avg'
11.9495 	EXP 	window1: blendMode = 'avg'
11.9661 	EXP 	window1: blendMode = 'avg'
11.9828 	EXP 	window1: blendMode = 'avg'
11.9994 	EXP 	window1: blendMode = 'avg'
12.0161 	EXP 	window1: blendMode = 'avg'
12.0328 	EXP 	window1: blendMode = 'avg'
12.0495 	EXP 	window1: blendMode = 'avg'
12.0661 	EXP 	window1: blendMode = 'avg'
12.0828 	EXP 	window1: blendMode = 'avg'
12.1157 	EXP 	text_fixation: autoDraw = False
12.3001 	DATA 	Keypress: right
12.3016 	EXP 	Sound  stopped
12.3210 	EXP 	window1: blendMode = 'avg'
12.3237 	EXP 	text_fixation: autoDraw = False
12.3237 	EXP 	text_type: alignHoriz = 'left'
12.3237 	EXP 	text_type: autoDraw = True
12.3241 	EXP 	window1: blendMode = 'avg'
12.3327 	EXP 	window1: blendMode = 'avg'
12.3497 	EXP 	window1: blendMode = 'avg'
12.3665 	EXP 	window1: blendMode = 'avg'
12.3833 	EXP 	window1: blendMode = 'avg'
12.4002 	EXP 	window1: blendMode = 'avg'
12.4168 	EXP 	window1: blendMode = 'avg'
12.4337 	EXP 	window1: blendMode = 'avg'
12.4503 	EXP 	window1: blendMode = 'avg'
12.4669 	EXP 	window1: blendMode = 'avg'
12.4839 	EXP 	window1: blendMode = 'avg'
12.5003 	EXP 	window1: blendMode = 'avg'
12.5169 	EXP 	window1: blendMode = 'avg'
12.5337 	EXP 	window1: blendMode = 'avg'
12.5504 	DATA 	Keypress: return
12.5512 	EXP 	window1: blendMode = 'avg'
12.5676 	EXP 	New trial (rep=0, index=1): {'word': u'\u7136\u5f8c', 'file': u'stimuli/489.wav', 'word_id': 489}
12.5681 	EXP 	Set  sound=stimuli/489.wav
12.5688 	EXP 	window1: blendMode = 'avg'
12.5824 	EXP 	text_type: autoDraw = False
12.5824 	EXP 	text_fixation: autoDraw = True
12.5831 	EXP 	window1: blendMode = 'avg'
12.6000 	EXP 	window1: blendMode = 'avg'
12.6168 	EXP 	window1: blendMode = 'avg'
12.6336 	EXP 	window1: blendMode = 'avg'
12.6504 	EXP 	window1: blendMode = 'avg'
12.6667 	EXP 	window1: blendMode = 'avg'
12.6836 	EXP 	window1: blendMode = 'avg'
12.7003 	EXP 	window1: blendMode = 'avg'
12.7169 	EXP 	window1: blendMode = 'avg'
12.7331 	EXP 	window1: blendMode = 'avg'
12.7495 	EXP 	window1: blendMode = 'avg'
12.7661 	EXP 	window1: blendMode = 'avg'
12.7829 	EXP 	window1: blendMode = 'avg'
12.7996 	EXP 	window1: blendMode = 'avg'
12.8164 	EXP 	window1: blendMode = 'avg'
12.8331 	EXP 	window1: blendMode = 'avg'
12.8500 	EXP 	window1: blendMode = 'avg'
12.8664 	EXP 	window1: blendMode = 'avg'
12.8831 	EXP 	window1: blendMode = 'avg'
12.8998 	EXP 	window1: blendMode = 'avg'
12.9164 	EXP 	window1: blendMode = 'avg'
12.9331 	EXP 	window1: blendMode = 'avg'
12.9498 	EXP 	window1: blendMode = 'avg'
12.9665 	EXP 	window1: blendMode = 'avg'
12.9832 	EXP 	window1: blendMode = 'avg'
12.9998 	EXP 	window1: blendMode = 'avg'
13.0164 	EXP 	window1: blendMode = 'avg'
13.0331 	EXP 	window1: blendMode = 'avg'
13.0500 	EXP 	window1: blendMode = 'avg'
13.0667 	EXP 	window1: blendMode = 'avg'
13.0827 	EXP 	Sound  started
13.0834 	EXP 	window1: blendMode = 'avg'
13.1000 	EXP 	window1: blendMode = 'avg'
13.1167 	EXP 	window1: blendMode = 'avg'
13.1334 	EXP 	window1: blendMode = 'avg'
13.1501 	EXP 	window1: blendMode = 'avg'
13.1668 	EXP 	window1: blendMode = 'avg'
13.1835 	EXP 	window1: blendMode = 'avg'
13.2002 	EXP 	window1: blendMode = 'avg'
13.2169 	EXP 	window1: blendMode = 'avg'
13.2336 	EXP 	window1: blendMode = 'avg'
13.2503 	EXP 	window1: blendMode = 'avg'
13.2668 	EXP 	window1: blendMode = 'avg'
13.2833 	EXP 	window1: blendMode = 'avg'
13.3003 	EXP 	window1: blendMode = 'avg'
13.3169 	EXP 	window1: blendMode = 'avg'
13.3337 	EXP 	window1: blendMode = 'avg'
13.3503 	EXP 	window1: blendMode = 'avg'
13.3664 	EXP 	window1: blendMode = 'avg'
13.3830 	EXP 	window1: blendMode = 'avg'
13.3998 	EXP 	window1: blendMode = 'avg'
13.4167 	EXP 	window1: blendMode = 'avg'
13.4330 	EXP 	window1: blendMode = 'avg'
13.4495 	EXP 	window1: blendMode = 'avg'
13.4664 	EXP 	window1: blendMode = 'avg'
13.4829 	EXP 	window1: blendMode = 'avg'
13.4996 	EXP 	window1: blendMode = 'avg'
13.5165 	EXP 	window1: blendMode = 'avg'
13.5332 	EXP 	window1: blendMode = 'avg'
13.5500 	EXP 	window1: blendMode = 'avg'
13.5823 	EXP 	text_fixation: autoDraw = False
13.5825 	DATA 	Keypress: right
13.5830 	EXP 	Sound  stopped
13.5915 	EXP 	window1: blendMode = 'avg'
13.5989 	EXP 	text_fixation: autoDraw = False
13.5989 	EXP 	text_type: alignHoriz = 'left'
13.5989 	EXP 	text_type: autoDraw = True
13.5989 	EXP 	text_type: text = u'What did you hear?\n'
13.5994 	EXP 	window1: blendMode = 'avg'
13.6161 	EXP 	window1: blendMode = 'avg'
13.6330 	EXP 	window1: blendMode = 'avg'
13.6495 	EXP 	window1: blendMode = 'avg'
13.6663 	EXP 	window1: blendMode = 'avg'
13.6831 	EXP 	window1: blendMode = 'avg'
13.6998 	EXP 	window1: blendMode = 'avg'
13.7165 	EXP 	window1: blendMode = 'avg'
13.7334 	EXP 	window1: blendMode = 'avg'
13.7495 	EXP 	window1: blendMode = 'avg'
13.7661 	EXP 	window1: blendMode = 'avg'
13.7829 	EXP 	window1: blendMode = 'avg'
13.7994 	DATA 	Keypress: return
13.8000 	EXP 	window1: blendMode = 'avg'
13.8170 	EXP 	New trial (rep=0, index=2): {'word': u'\u7684', 'file': u'stimuli/440.wav', 'word_id': 440}
13.8174 	EXP 	Set  sound=stimuli/440.wav
13.8182 	EXP 	window1: blendMode = 'avg'
13.8324 	EXP 	text_type: autoDraw = False
13.8324 	EXP 	text_fixation: autoDraw = True
13.8332 	EXP 	window1: blendMode = 'avg'
13.8500 	EXP 	window1: blendMode = 'avg'
13.8666 	EXP 	window1: blendMode = 'avg'
13.8832 	EXP 	window1: blendMode = 'avg'
13.9003 	EXP 	window1: blendMode = 'avg'
13.9169 	EXP 	window1: blendMode = 'avg'
13.9328 	EXP 	window1: blendMode = 'avg'
13.9497 	EXP 	window1: blendMode = 'avg'
13.9664 	EXP 	window1: blendMode = 'avg'
13.9830 	EXP 	window1: blendMode = 'avg'
13.9997 	EXP 	window1: blendMode = 'avg'
14.0164 	EXP 	window1: blendMode = 'avg'
14.0330 	EXP 	window1: blendMode = 'avg'
14.0498 	EXP 	window1: blendMode = 'avg'
14.0665 	EXP 	window1: blendMode = 'avg'
14.0833 	EXP 	window1: blendMode = 'avg'
14.0999 	EXP 	window1: blendMode = 'avg'
14.1165 	EXP 	window1: blendMode = 'avg'
14.1333 	EXP 	window1: blendMode = 'avg'
14.1499 	EXP 	window1: blendMode = 'avg'
14.1667 	EXP 	window1: blendMode = 'avg'
14.1833 	EXP 	window1: blendMode = 'avg'
14.2000 	EXP 	window1: blendMode = 'avg'
14.2166 	EXP 	window1: blendMode = 'avg'
14.2335 	EXP 	window1: blendMode = 'avg'
14.2501 	EXP 	window1: blendMode = 'avg'
14.2668 	EXP 	window1: blendMode = 'avg'
14.2835 	EXP 	window1: blendMode = 'avg'
14.3001 	EXP 	window1: blendMode = 'avg'
14.3169 	EXP 	window1: blendMode = 'avg'
14.3329 	EXP 	Sound  started
14.3337 	EXP 	window1: blendMode = 'avg'
14.3502 	EXP 	window1: blendMode = 'avg'
14.3669 	EXP 	window1: blendMode = 'avg'
14.3836 	EXP 	window1: blendMode = 'avg'
14.4004 	EXP 	window1: blendMode = 'avg'
14.4169 	EXP 	window1: blendMode = 'avg'
14.4337 	EXP 	window1: blendMode = 'avg'
14.4504 	EXP 	window1: blendMode = 'avg'
14.4669 	EXP 	window1: blendMode = 'avg'
14.4835 	EXP 	window1: blendMode = 'avg'
14.5004 	EXP 	window1: blendMode = 'avg'
14.5168 	EXP 	window1: blendMode = 'avg'
14.5336 	EXP 	window1: blendMode = 'avg'
14.5502 	EXP 	window1: blendMode = 'avg'
14.5668 	EXP 	window1: blendMode = 'avg'
14.5836 	EXP 	window1: blendMode = 'avg'
14.6003 	EXP 	window1: blendMode = 'avg'
14.6169 	EXP 	window1: blendMode = 'avg'
14.6337 	EXP 	window1: blendMode = 'avg'
14.6503 	EXP 	window1: blendMode = 'avg'
14.6669 	EXP 	window1: blendMode = 'avg'
14.6836 	EXP 	window1: blendMode = 'avg'
14.7003 	EXP 	window1: blendMode = 'avg'
14.7169 	EXP 	window1: blendMode = 'avg'
14.7340 	EXP 	window1: blendMode = 'avg'
14.7494 	EXP 	window1: blendMode = 'avg'
14.7659 	DATA 	Keypress: right
14.7663 	EXP 	Sound  stopped
14.7748 	EXP 	window1: blendMode = 'avg'
14.7823 	EXP 	text_fixation: autoDraw = False
14.7823 	EXP 	text_type: alignHoriz = 'left'
14.7823 	EXP 	text_type: autoDraw = True
14.7823 	EXP 	text_type: text = u'What did you hear?\n'
14.7828 	EXP 	window1: blendMode = 'avg'
14.7994 	EXP 	window1: blendMode = 'avg'
14.8163 	EXP 	window1: blendMode = 'avg'
14.8330 	EXP 	window1: blendMode = 'avg'
14.8497 	EXP 	window1: blendMode = 'avg'
14.8663 	EXP 	window1: blendMode = 'avg'
14.8832 	EXP 	window1: blendMode = 'avg'
14.8997 	EXP 	window1: blendMode = 'avg'
14.9161 	EXP 	window1: blendMode = 'avg'
14.9327 	EXP 	window1: blendMode = 'avg'
14.9495 	EXP 	window1: blendMode = 'avg'
14.9661 	EXP 	window1: blendMode = 'avg'
14.9825 	DATA 	Keypress: return
14.9831 	EXP 	window1: blendMode = 'avg'
15.0002 	EXP 	New trial (rep=0, index=3): {'word': u'\u8b8a\u5f97', 'file': u'stimuli/236.wav', 'word_id': 236}
15.0006 	EXP 	Set  sound=stimuli/236.wav
15.0012 	EXP 	window1: blendMode = 'avg'
15.0157 	EXP 	text_type: autoDraw = False
15.0157 	EXP 	text_fixation: autoDraw = True
15.0164 	EXP 	window1: blendMode = 'avg'
15.0332 	EXP 	window1: blendMode = 'avg'
15.0499 	EXP 	window1: blendMode = 'avg'
15.0662 	EXP 	window1: blendMode = 'avg'
15.0828 	EXP 	window1: blendMode = 'avg'
15.0994 	EXP 	window1: blendMode = 'avg'
15.1162 	EXP 	window1: blendMode = 'avg'
15.1329 	EXP 	window1: blendMode = 'avg'
15.1497 	EXP 	window1: blendMode = 'avg'
15.1667 	EXP 	window1: blendMode = 'avg'
15.1833 	EXP 	window1: blendMode = 'avg'
15.1999 	EXP 	window1: blendMode = 'avg'
15.2167 	EXP 	window1: blendMode = 'avg'
15.2337 	EXP 	window1: blendMode = 'avg'
15.2502 	EXP 	window1: blendMode = 'avg'
15.2669 	EXP 	window1: blendMode = 'avg'
15.2833 	EXP 	window1: blendMode = 'avg'
15.3003 	EXP 	window1: blendMode = 'avg'
15.3172 	EXP 	window1: blendMode = 'avg'
15.3335 	EXP 	window1: blendMode = 'avg'
15.3497 	EXP 	window1: blendMode = 'avg'
15.3661 	EXP 	window1: blendMode = 'avg'
15.3827 	EXP 	window1: blendMode = 'avg'
15.3994 	EXP 	window1: blendMode = 'avg'
15.4163 	EXP 	window1: blendMode = 'avg'
15.4330 	EXP 	window1: blendMode = 'avg'
15.4499 	EXP 	window1: blendMode = 'avg'
15.4667 	EXP 	window1: blendMode = 'avg'
15.4833 	EXP 	window1: blendMode = 'avg'
15.5005 	EXP 	window1: blendMode = 'avg'
15.5162 	EXP 	Sound  started
15.5170 	EXP 	window1: blendMode = 'avg'
15.5336 	EXP 	window1: blendMode = 'avg'
15.5503 	EXP 	window1: blendMode = 'avg'
15.5663 	EXP 	window1: blendMode = 'avg'
15.5828 	EXP 	window1: blendMode = 'avg'
15.5996 	EXP 	window1: blendMode = 'avg'
15.6164 	EXP 	window1: blendMode = 'avg'
15.6330 	EXP 	window1: blendMode = 'avg'
15.6498 	EXP 	window1: blendMode = 'avg'
15.6665 	EXP 	window1: blendMode = 'avg'
15.6832 	EXP 	window1: blendMode = 'avg'
15.6999 	EXP 	window1: blendMode = 'avg'
15.7167 	EXP 	window1: blendMode = 'avg'
15.7332 	EXP 	window1: blendMode = 'avg'
15.7494 	EXP 	window1: blendMode = 'avg'
15.7661 	EXP 	window1: blendMode = 'avg'
15.7828 	EXP 	window1: blendMode = 'avg'
15.7994 	EXP 	window1: blendMode = 'avg'
15.8161 	EXP 	window1: blendMode = 'avg'
15.8327 	EXP 	window1: blendMode = 'avg'
15.8495 	EXP 	window1: blendMode = 'avg'
15.8661 	EXP 	window1: blendMode = 'avg'
15.8828 	EXP 	window1: blendMode = 'avg'
15.8994 	EXP 	window1: blendMode = 'avg'
15.9161 	EXP 	window1: blendMode = 'avg'
15.9327 	EXP 	window1: blendMode = 'avg'
15.9492 	DATA 	Keypress: right
15.9497 	EXP 	Sound  stopped
15.9616 	EXP 	window1: blendMode = 'avg'
15.9656 	EXP 	text_fixation: autoDraw = False
15.9656 	EXP 	text_type: alignHoriz = 'left'
15.9656 	EXP 	text_type: autoDraw = True
15.9656 	EXP 	text_type: text = u'What did you hear?\n'
15.9661 	EXP 	window1: blendMode = 'avg'
15.9828 	EXP 	window1: blendMode = 'avg'
15.9997 	EXP 	window1: blendMode = 'avg'
16.0164 	EXP 	window1: blendMode = 'avg'
16.0328 	EXP 	window1: blendMode = 'avg'
16.0497 	EXP 	window1: blendMode = 'avg'
16.0665 	EXP 	window1: blendMode = 'avg'
16.0833 	EXP 	window1: blendMode = 'avg'
16.1003 	EXP 	window1: blendMode = 'avg'
16.1168 	EXP 	window1: blendMode = 'avg'
16.1337 	EXP 	window1: blendMode = 'avg'
16.1503 	EXP 	window1: blendMode = 'avg'
16.1669 	EXP 	window1: blendMode = 'avg'
16.1836 	EXP 	window1: blendMode = 'avg'
16.2003 	EXP 	window1: blendMode = 'avg'
16.2163 	EXP 	window1: blendMode = 'avg'
16.2325 	DATA 	Keypress: return
16.2331 	EXP 	window1: blendMode = 'avg'
16.2504 	EXP 	New trial (rep=0, index=4): {'word': u'\u51fa\u4f86', 'file': u'stimuli/184.wav', 'word_id': 184}
16.2509 	EXP 	Set  sound=stimuli/184.wav
16.2516 	EXP 	window1: blendMode = 'avg'
16.2657 	EXP 	text_type: autoDraw = False
16.2657 	EXP 	text_fixation: autoDraw = True
16.2664 	EXP 	window1: blendMode = 'avg'
16.2831 	EXP 	window1: blendMode = 'avg'
16.2998 	EXP 	window1: blendMode = 'avg'
16.3162 	EXP 	window1: blendMode = 'avg'
16.3328 	EXP 	window1: blendMode = 'avg'
16.3496 	EXP 	window1: blendMode = 'avg'
16.3663 	EXP 	window1: blendMode = 'avg'
16.3831 	EXP 	window1: blendMode = 'avg'
16.4001 	EXP 	window1: blendMode = 'avg'
16.4168 	EXP 	window1: blendMode = 'avg'
16.4327 	EXP 	window1: blendMode = 'avg'
16.4494 	EXP 	window1: blendMode = 'avg'
16.4661 	EXP 	window1: blendMode = 'avg'
16.4827 	EXP 	window1: blendMode = 'avg'
16.4996 	EXP 	window1: blendMode = 'avg'
16.5163 	EXP 	window1: blendMode = 'avg'
16.5333 	EXP 	window1: blendMode = 'avg'
16.5501 	EXP 	window1: blendMode = 'avg'
16.5669 	EXP 	window1: blendMode = 'avg'
16.5832 	EXP 	window1: blendMode = 'avg'
16.5999 	EXP 	window1: blendMode = 'avg'
16.6168 	EXP 	window1: blendMode = 'avg'
16.6335 	EXP 	window1: blendMode = 'avg'
16.6503 	EXP 	window1: blendMode = 'avg'
16.6670 	EXP 	window1: blendMode = 'avg'
16.6834 	EXP 	window1: blendMode = 'avg'
16.7002 	EXP 	window1: blendMode = 'avg'
16.7168 	EXP 	window1: blendMode = 'avg'
